Customer,SalesOrg,DistributionChannel,FulfillmentMethod,Time,Currency,UOM,Vendor,Store,RetailItemNumber,UPC,GTIN,Material,TCINNo,StoreCount,OnOrderQty,RetailerCost,RetailerPrice,WarehouseInv,OnhandInv,POSSales,POSSalesUnits,TotalInv,InStock,OutStock,unsellableOnHandUnits,unsellableOnHandUnitsAmount,sellableOnHandInventoryAmount,TotalInvValue
101871,US01,00,,2023-05-06T00:00:00.000Z,USD,PC,,,40000199663 ,,,6059020,,,,,7.94,,,7342,925,15483,,,,,,30191
101871,US01,00,,2023-05-06T00:00:00.000Z,USD,PC,,,40000309429 ,,,6062758,,,,,8.98,,,6926,771,14401,,,,,,81223
101871,US01,00,,2023-05-06T00:00:00.000Z,USD,PC,,,40000941042 ,,,6061193,,,,,10.37,,,4428,427,16749,,,,,,61133
101871,US01,00,,2023-05-06T00:00:00.000Z,USD,PC,,,40000982397 ,,,6061195,,,,,11.04,,,1568,142,7143,,,,,,24999
101871,US01,00,,2023-05-06T00:00:00.000Z,USD,PC,,,40000680971 ,,,6055697,,,,,9.77,,,2463,252,3757,,,,,,30505
101871,US01,00,,2023-05-06T00:00:00.000Z,USD,PC,,,40000401812 ,,,6052310,,,,,12.74,,,17807,1398,15478,,,,,,122428
101871,US01,00,,2023-05-06T00:00:00.000Z,USD,PC,,,40000987316 ,,,0,,,,,0,,,0,0,,,,,,,0
101871,US01,00,,2023-05-06T00:00:00.000Z,USD,PC,,,40000348429 ,,,6064575,,,,,14.79,,,7173,485,53327,,,,,,346623
101871,US01,00,,2023-05-06T00:00:00.000Z,USD,PC,,,40000348187 ,,,6064574,,,,,14.68,,,8207,559,56150,,,,,,364975
101871,US01,00,,2023-05-06T00:00:00.000Z,USD,PC,,,40000912380 ,,,6056509,,,,,9.75,,,6718,689,34023,,,,,,156556
101871,US01,00,,2023-05-06T00:00:00.000Z,USD,PC,,,40000913448 ,,,6056507,,,,,9.74,,,4618,474,29944,,,,,,136684
101871,US01,00,,2023-05-06T00:00:00.000Z,USD,PC,,,40000913463 ,,,6056508,,,,,9.73,,,4591,472,38939,,,,,,173305
101871,US01,00,,,USD,PC,,,40000292222 ,,,0,,,,,,,,,,,,,,,,
101871,US01,00,,,USD,PC,,,40000736937 ,,,6059845,,,,,,,,,,0,,,,,,
101871,US01,00,,,USD,PC,,,40000412050 ,,,6035863,,,,,,,,,,0,,,,,,
101871,US01,00,,,USD,PC,,,40000410752 ,,,6062342,,,,,,,,,,0,,,,,,
101871,US01,00,,,USD,PC,,,40000391447 ,,,6041024,,,,,,,,,,0,,,,,,
101871,US01,00,,,USD,PC,,,40000351286 ,,,0,,,,,,,,,,,,,,,,
101871,US01,00,,,USD,PC,,,40000412051 ,,,6053960,,,,,,,,,,0,,,,,,
101871,US01,00,,,USD,PC,,,40000411213 ,,,6063724,,,,,,,,,,0,,,,,,
101871,US01,00,,,USD,PC,,,40000411208 ,,,0,,,,,,,,,,,,,,,,
101871,US01,00,,,USD,PC,,,40000411186 ,,,6063746,,,,,,,,,,0,,,,,,
101871,US01,00,,,USD,PC,,,40000402036 ,,,6064551,,,,,,,,,,0,,,,,,
101871,US01,00,,,USD,PC,,,40000411255 ,,,0,,,,,,,,,,,,,,,,
101871,US01,00,,,USD,PC,,,40000411599 ,,,6063745,,,,,,,,,,0,,,,,,
101871,US01,00,,,USD,PC,,,40000865557 ,,,6059845,,,,,,,,,,0,,,,,,
101871,US01,00,,,USD,PC,,,40000197554 ,,,6063296,,,,,,,,,,0,,,,,,
101871,US01,00,,2023-05-06T00:00:00.000Z,USD,PC,,,40000593144 ,,,6065748,,,,,3.63,,,29,8,83,,,,,,702
101871,US01,00,,,USD,PC,,,40000201811 ,,,6060475,,,,,,,,,,0,,,,,,
101871,US01,00,,,USD,PC,,,40000278914 ,,,6056371,,,,,,,,,,0,,,,,,
101871,US01,00,,2023-05-06T00:00:00.000Z,USD,PC,,,40000708166 ,,,6053257,,,,,3.91,,,305,78,890,,,,,,2723
101871,US01,00,,,USD,PC,,,40000533991 ,,,6064551,,,,,,,,,,0,,,,,,
101871,US01,00,,,USD,PC,,,40000534177 ,,,6063964,,,,,,,,,,0,,,,,,
101871,US01,00,,,USD,PC,,,40000534292 ,,,6064596,,,,,,,,,,0,,,,,,
101871,US01,00,,,USD,PC,,,40000440282 ,,,6038611,,,,,,,,,,,,,,,,
101871,US01,00,,,USD,PC,,,40000613237 ,,,6068257,,,,,,,,,,,,,,,,
101871,US01,00,,,USD,PC,,,40000218622 ,,,6063302,,,,,,,,,,,,,,,,
101871,US01,00,,,USD,PC,,,40000611468 ,,,6055412,,,,,,,,,,,,,,,,
