Customer,SalesOrg,Time,DistributionChannel,FulfillmentMethod,Currency,UOM,Vendor,Store,RetailItemNumber,UPC,GTIN,Material,TCINNo,StoreCount,OnOrderQty,RetailerCost,RetailerPrice,WarehouseInv,OnhandInv,POSSales,POSSalesUnits,TotalInv,InStock,OutStock,unsellableOnHandUnits,unsellableOnHandUnitsAmount,sellableOnHandInventoryAmount,TotalInvValue
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B08QM7TN6W,778988322031,,6059548,,,0,,22.73,,283,113.65,5,283,,,0,0.00,4126.14,6432.59
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B0BSNV4X8K,778988467152,,6067075,,,0,,158.18,,456,316.36,2,456,,,0,0.00,48806.45,72130.08
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B0BSFVQXMF,778988462492,,6066877,,,0,,15.99,,4,15.99,1,4,,,0,0.00,54.00,63.96
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B09NLCD12R,778988422380,,6064120,,,,,0.00,,381,0.00,0,381,,,0,0.00,16108.70,0.00
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B09M4FLXF7,778988432426,,6064945,,,0,,40.51,,241,121.55,3,241,,,0,0.00,5176.69,9762.91
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B08H5R5D96,795861111797,,6061888,,,0,,53.64,,14,965.52,18,14,,,0,0.00,567.00,750.96
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B0CB5HLWT5,778988459287,,6066683,,,,,0.00,,69,0.00,0,69,,,0,0.00,1373.10,0.00
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B0B6WMYBS9,778988446713,,6066140,,,0,,26.36,,20,26.36,1,20,,,0,0.00,398.00,527.20
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B0BRT9F317,778988455982,,6066471,,,0,,53.63,,267,160.92,3,267,,,0,0.00,8421.19,14319.21
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B07WMWNYNN,778988573945,,6054012,,,42,,27.25,,0,381.64,14,0,,,0,0.00,0.00,0.00
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B07GTB3H8T,778988562932,,6047185,,,0,,18.16,,81,218.04,12,81,,,0,0.00,1053.00,1470.96
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B07NFQT9WT,778988402825,,6046197,,,,,0.00,,0,0.00,0,,,,0,0.00,0.00,0.00
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B0BRT572WH,778988462645,,6066886,,,0,,34.75,,82,625.53,18,82,,,0,0.00,2173.00,2849.50
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B0BJ2GD36D,778988456811,,6066517,,,504,,15.41,,0,-30.82,-2,,,,0,0.00,0.00,0.00
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B0B9831SC6,778988468111,,6067736,,,0,,81.81,,15,163.62,2,15,,,0,0.00,900.00,1227.15
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B09B2LNR96,778988378564,,6063574,,,0,,18.17,,58,18.17,1,58,,,0,0.00,771.40,1053.86
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B09B2LL56V,778988378571,,6063575,,,1,,25.09,,325,250.94,10,325,,,0,0.00,4394.00,8154.25
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B0BT24TSC2,778988404218,,6067447,,,0,,0.00,,3,0.00,0,3,,,0,0.00,39.90,0.00
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B09NNL1FTH,778988342855,,6064752,,,,,0.00,,0,0.00,0,,,,0,0.00,0.00,0.00
