Customer,SalesOrg,Time,DistributionChannel,FulfillmentMethod,Currency,UOM,Vendor,Store,RetailItemNumber,UPC,GTIN,Material,TCINNo,StoreCount,OnOrderQty,RetailerCost,RetailerPrice,WarehouseInv,OnhandInv,POSSales,POSSalesUnits,TotalInv,InStock,OutStock,unsellableOnHandUnits,unsellableOnHandUnitsAmount,sellableOnHandInventoryAmount,TotalInvValue
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B09NNM3XW8,,,,,,0,,15.50,,0,310.15,20,0,,,0,0.00,0.00,0.00
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B0B4Y5PRNF,,,,,,8,,12.49,,124,112.41,9,124,,,0,0.00,1215.20,1548.76
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B09V5RGR8L,,,,,,0,,17.40,,56,765.87,44,56,,,0,0.00,665.28,974.40
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B07PCBZ4K1,,,,,,,,0.00,,1,0.00,0,1,,,0,0.00,14.30,0.00
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B07ZWRMJZ3,,,,,,0,,20.75,,0,435.75,21,0,,,1,15.78,0.00,0.00
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B0BSXNJRVH,,,,,,6,,20.82,,60,291.48,14,60,,,0,0.00,495.60,1249.20
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B07PCBD4LK,,,,,,,,6.66,,0,-6.66,-1,0,,,0,0.00,0.00,0.00
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B0BRT8MN79,,,,,,0,,16.66,,0,166.60,10,,,,0,0.00,0.00,0.00
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B08SVXG1XY,,,,,,,,44.73,,0,44.73,1,,,,0,0.00,0.00,0.00
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B07NW9248L,,,,,,6270,,25.44,,12,4046.19,159,12,,,1,23.65,283.80,305.28
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B09FG5F99L,,,,,,0,,0.00,,0,0.00,0,0,,,0,0.00,0.00,0.00
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B08T1BFP6K,,,,,,-7,,10.42,,3001,4782.78,459,3001,,,1,9.23,33725.42,31270.42
