Customer,SalesOrg,DistributionChannel,FulfillmentMethod,Time,Currency,UOM,Vendor,Store,RetailItemNumber,UPC,GTIN,Material,TCINNo,StoreCount,OnOrderQty,RetailerCost,RetailerPrice,WarehouseInv,OnhandInv,POSSales,POSSalesUnits,TotalInv,InStock,OutStock,unsellableOnHandUnits,unsellableOnHandUnitsAmount,sellableOnHandInventoryAmount,TotalInvValue
UKSAINS,UK01,00,,2023-08-19T00:00:00.000Z,GBP,PC,,,,,,6065055,,,,,29.99,,6,0,0,6,,,0,0,0,179.94
UKSAINS,UK01,00,,2023-08-19T00:00:00.000Z,GBP,PC,,,,,,6045505,,,,,20,,0,0,0,0,,,0,0,0,0
UKSAINS,UK01,00,,2023-08-19T00:00:00.000Z,GBP,PC,,,,,,6066872,,,,,27.99,,488,83.97,3,488,,,0,0,0,13659.12
UKSAINS,UK01,00,,2023-08-19T00:00:00.000Z,GBP,PC,,,,,,6054648,,,,,24.99,,5,0,0,5,,,0,0,0,124.95
UKSAINS,UK01,00,,2023-08-19T00:00:00.000Z,GBP,PC,,,,,,6066548,,,,,24.99,,240,74.97,3,240,,,0,0,0,5997.6
UKSAINS,UK01,00,,2023-08-19T00:00:00.000Z,GBP,PC,,,,,,6067790,,,,,32.99,,1650,4882.52,148,1650,,,0,0,0,54433.5
UKSAINS,UK01,00,,2023-08-19T00:00:00.000Z,GBP,PC,,,,,,6053898,,,,,10,,176,10,1,176,,,0,0,0,1760
UKSAINS,UK01,00,,2023-08-19T00:00:00.000Z,GBP,PC,,,,,,6066068,,,,,2.49,,5765,3057.72,1228,5765,,,0,0,0,14354.85
UKSAINS,UK01,00,,2023-08-19T00:00:00.000Z,GBP,PC,,,,,,6056227,,,,,54.99,,81,54.99,1,81,,,0,0,0,4454.19
UKSAINS,UK01,00,,2023-08-19T00:00:00.000Z,GBP,PC,,,,,,6054190,,,,,4,,60,8,2,60,,,0,0,0,240
UKSAINS,UK01,00,,2023-08-19T00:00:00.000Z,GBP,PC,,,,,,6062256,,,,,59.99,,3,0,0,3,,,0,0,0,179.97
UKSAINS,UK01,00,,2023-08-19T00:00:00.000Z,GBP,PC,,,,,,6068148,,,,,19.99,,171,199.9,10,171,,,0,0,0,3418.29
UKSAINS,UK01,00,,2023-08-19T00:00:00.000Z,GBP,PC,,,,,,6045038,,,,,14,,1,0,0,1,,,0,0,0,14
UKSAINS,UK01,00,,2023-08-19T00:00:00.000Z,GBP,PC,,,,,,6054448,,,,,5,,0,0,0,0,,,0,0,0,0
UKSAINS,UK01,00,,2023-08-19T00:00:00.000Z,GBP,PC,,,,,,6034131,,,,,49.99,,12,0,0,12,,,0,0,0,599.88
UKSAINS,UK01,00,,2023-08-19T00:00:00.000Z,GBP,PC,,,,,,6066045,,,,,16.66,,230,966.28,58,230,,,0,0,0,3831.8
UKSAINS,UK01,00,,2023-08-19T00:00:00.000Z,GBP,PC,,,,,,6058351,,,,,18,,1,0,0,1,,,0,0,0,18
UKSAINS,UK01,00,,2023-08-19T00:00:00.000Z,GBP,PC,,,,,,6063520,,,,,6.5,,1,0,0,1,,,0,0,0,6.5
UKSAINS,UK01,00,,2023-08-19T00:00:00.000Z,GBP,PC,,,,,,6065425,,,,,34.99,,226,594.83,17,226,,,0,0,0,7907.74
UKSAINS,UK01,00,,2023-08-19T00:00:00.000Z,GBP,PC,,,,,,6060483,,,,,11.99,,1,0,0,1,,,0,0,0,11.99
UKSAINS,UK01,00,,2023-08-19T00:00:00.000Z,GBP,PC,,,,,,6063231,,,,,12,,1612,204,17,1612,,,0,0,0,19344
UKSAINS,UK01,00,,2023-08-19T00:00:00.000Z,GBP,PC,,,,,,6064334,,,,,6,,116,0,0,116,,,0,0,0,696
UKSAINS,UK01,00,,2023-08-19T00:00:00.000Z,GBP,PC,,,,,,6024476,,,,,10.93,,1,0,0,1,,,0,0,0,10.93
UKSAINS,UK01,00,,2023-08-19T00:00:00.000Z,GBP,PC,,,,,,6037169,,,,,3,,222,39,13,222,,,0,0,0,666
UKSAINS,UK01,00,,2023-08-19T00:00:00.000Z,GBP,PC,,,,,,6055887,,,,,13,,0,0,0,0,,,0,0,0,0
UKSAINS,UK01,00,,2023-08-19T00:00:00.000Z,GBP,PC,,,,,,6044178,,,,,11.25,,0,0,0,0,,,0,0,0,0
UKSAINS,UK01,00,,2023-08-19T00:00:00.000Z,GBP,PC,,,,,,6045112,,,,,6.5,,0,0,0,0,,,0,0,0,0
UKSAINS,UK01,00,,2023-08-19T00:00:00.000Z,GBP,PC,,,,,,6038284,,,,,8.5,,1,0,0,1,,,0,0,0,8.5
UKSAINS,UK01,00,,2023-08-19T00:00:00.000Z,GBP,PC,,,,,,6063830,,,,,12.99,,107,0,0,107,,,0,0,0,1389.93
UKSAINS,UK01,00,,2023-08-19T00:00:00.000Z,GBP,PC,,,,,,6055946,,,,,4,,4045,808,202,4045,,,0,0,0,16180
UKSAINS,UK01,00,,2023-08-19T00:00:00.000Z,GBP,PC,,,,,,6024232,,,,,7.5,,7,0,0,7,,,0,0,0,52.5
UKSAINS,UK01,00,,2023-08-19T00:00:00.000Z,GBP,PC,,,,,,6065355,,,,,5,,91,0,0,91,,,0,0,0,455
UKSAINS,UK01,00,,2023-08-19T00:00:00.000Z,GBP,PC,,,,,,6028846,,,,,3.99,,24,0,0,24,,,0,0,0,95.76
UKSAINS,UK01,00,,2023-08-19T00:00:00.000Z,GBP,PC,,,,,,6056930,,,,,12,,361,84,7,361,,,0,0,0,4332
UKSAINS,UK01,00,,2023-08-19T00:00:00.000Z,GBP,PC,,,,,,6068702,,,,,5,,3731,605,121,3731,,,0,0,0,18655
UKSAINS,UK01,00,,2023-08-19T00:00:00.000Z,GBP,PC,,,,,,6040176,,,,,17,,0,0,0,0,,,0,0,0,0
UKSAINS,UK01,00,,2023-08-19T00:00:00.000Z,GBP,PC,,,,,,6063149,,,,,11.99,,48,11.99,1,48,,,0,0,0,575.52
UKSAINS,UK01,00,,2023-08-19T00:00:00.000Z,GBP,PC,,,,,,6033087,,,,,8,,0,0,0,0,,,0,0,0,0
UKSAINS,UK01,00,,2023-08-19T00:00:00.000Z,GBP,PC,,,,,,6064391,,,,,6,,1696,528,88,1696,,,0,0,0,10176
UKSAINS,UK01,00,,2023-08-19T00:00:00.000Z,GBP,PC,,,,,,6061844,,,,,4.99,,2061,3792.4,760,2061,,,0,0,0,10284.39
